Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Elec_3x5.4",167.200000,-147.600000,-90.000000,top
"C2","100uF","CP_Elec_6.3x5.4",158.200000,-137.200000,90.000000,top
"C3","22uF","CP_Elec_5x5.4",181.000000,-148.800000,90.000000,top
"C4","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.000000,-138.100000,180.000000,top
"C5","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.000000,-140.300000,180.000000,top
"C6","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.000000,-137.000000,180.000000,top
"C7","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.270000,-103.352500,180.000000,top
"C8","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.000000,-125.100000,-90.000000,top
"C9","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",171.300000,-132.800000,180.000000,top
"C10","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",171.300000,-131.800000,180.000000,top
"C11","4.7uF","C_0402_1005Metric",170.600000,-143.400000,180.000000,top
"C12","1nF","C_0402_1005Metric",168.500000,-121.700000,0.000000,top
"C13","1uF","C_0402_1005Metric",173.080000,-136.100000,180.000000,top
"D1","SMBJ5","D_SMB",165.000000,-137.000000,90.000000,top
"D2","SM712","SOT-23",135.625000,-128.250000,-90.000000,top
"D3","D_Schottky","D_SOD-123F",175.900000,-141.200000,90.000000,top
"F1","FUSE 2A","Fuse_1206_3216Metric",152.000000,-141.000000,180.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_CLIFF_FC681465S_SMT_Horizontal",153.000000,-149.500000,90.000000,top
"J2","ISP","PinHeader_1x06_P2.54mm_Vertical",95.250000,-97.200000,90.000000,top
"J3","GPIO expanded","JST_SM04B-SRSS-TB(LF)(SN)",112.708333,-149.000000,0.000000,top
"J4","sensor","JST_SM05B-SRSS-TB(LF)(SN)",100.500000,-153.000000,0.000000,top
"J5","I2C extended","JST_SM04B-SRSS-TB(LF)(SN)",124.416666,-149.000000,0.000000,top
"J6","MODBUS RTU","JST_SM03B-SRSS-TB(LF)(SN)",135.625000,-149.000000,0.000000,top
"J7","Display","Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal",175.500000,-125.000000,90.000000,top
"L1","4.7uH","L_1008_2520Metric",173.300000,-141.100000,90.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",102.900000,-103.500000,90.000000,top
"R1","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.000000,-139.200000,0.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.270000,-102.352500,180.000000,top
"R3","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.000000,-115.500000,-90.000000,top
"R4","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.250000,-115.500000,-90.000000,top
"R5","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.625000,-115.500000,-90.000000,top
"R6","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.625000,-142.500000,0.000000,top
"R7","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.300000,-142.500000,0.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.000000,-142.500000,0.000000,top
"R9","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.900000,-113.700000,90.000000,top
"R10","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.900000,-116.250000,-90.000000,top
"R11","5R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",171.267500,-134.300000,0.000000,top
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",171.100000,-116.700000,0.000000,top
"SW1","SW_SPDT","SW_Slide_1P2T_CK_OS102011MS2Q",147.000000,-97.702500,180.000000,top
"U1","AZ1117-3.3","SOT-223-3_TabPin2",173.500000,-149.800000,-90.000000,top
"U2","ESP32-WROOM-32E(8MB)","ESP32-WROOM-32",101.000000,-125.000000,90.000000,top
"U3","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",135.625000,-122.500000,-90.000000,top
"U4","TPS61169DCKR","SOT-353_SC-70-5",170.400000,-141.250000,-90.000000,top
