Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_EIA-3528-21_Kemet-B",186.500000,-96.500000,270.000000,top
"C2","0.1uF","C_0805_2012Metric",191.800000,-108.800000,270.000000,top
"C3","0.1uF","C_0805_2012Metric",183.000000,-95.787500,270.000000,top
"C4","10uF","C_0805_2012Metric",135.500000,-125.300000,270.000000,top
"C5","0.1uF","C_0805_2012Metric",133.500000,-125.300000,270.000000,top
"C6","0.1uF","C_0805_2012Metric",139.500000,-125.300000,270.000000,top
"C8","2.2uF","C_0805_2012Metric",178.500000,-95.762500,270.000000,top
"C9","2.2uF","C_0805_2012Metric",167.337500,-94.800000,180.000000,top
"D1","SMBJ5","D_SMB",193.300000,-102.000000,0.000000,top
"D2","SM712","SOT-23",203.600000,-113.800000,0.000000,top
"D3","LED","LED_0805_2012Metric",166.262500,-102.800000,0.000000,top
"F1","FUSE 2A","Fuse_2920_7451Metric",194.500000,-95.000000,0.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",163.500000,-110.600000,180.000000,top
"R1","4K7","R_0805_2012Metric",199.600000,-111.962500,90.000000,top
"R2","4K7","R_0805_2012Metric",199.600000,-115.637500,90.000000,top
"R3","120R","R_1206_3216Metric",196.200000,-113.900000,90.000000,top
"R4","10K","R_0805_2012Metric",137.500000,-125.300000,90.000000,top
"R5","1K","R_0805_2012Metric",170.000000,-102.800000,180.000000,top
"U1","MAX485E","SOIC-8_3.9x4.9mm_P1.27mm",189.300000,-113.800000,0.000000,top
"U2","ESP32-WROOM-32E(8MB)","ESP32-WROOM-32",141.755000,-112.000000,90.000000,top
"U3","RT9078-33GJ5","TSOT-23-5",172.200000,-95.800000,180.000000,top
